"","req","X","cplx","complexity","author","owner","nuc","form","procedural","location","level","textorder","dependencies","coherence","steps","steps.functional","steps.beyond","steps.mis.variations","steps.mis.main","steps.consistent","sequence.main","sequence.alt","numbering","entities","actors","actors_explicit","totalinteractions","interactions","pureinteractions","consecutive","month","lambda","s2"
"16","req111",111,"High Complexity",3,"author11","owner6",1,"description",1,"Solution Proposal","System",1,1,0.384354130132124,12,9,0,0,1,3,1,1,1,0,0,0,17,17,6,7,2022-05-01,120,122
"17","req112",112,"Low Complexity",1,"author16","owner5",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-08-01,65,63
"18","req113",113,"Medium Complexity",2,"author25","owner1",2,"description",1,"Solution Proposal","Business",1,1,0.751305849291384,5.5,5.5,1.5,0.5,1.5,1,1,1,1,1,0.5,0.5,13,6.5,3.5,2.5,2021-05-01,110,116
"19","req114",114,"Low Complexity",1,"author28","owner5",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-01-01,60,58
"20","req115",115,"Medium Complexity",2,"author24","owner8",2,"description",1,"Business Background","User",1,1,0.561666036141105,8,5,0,1,0.5,1.5,1,1,1,0.5,0,0,24,12,3.5,8.5,2021-10-01,95,99
"21","req116",116,"Medium Complexity",2,"author28","owner5",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-09-01,90,85
"22","req117",117,"Medium Complexity",2,"author5","owner4",1,"description",1,"default","Business",1,1,0.695161777548492,9,9,1,2,2,2,1,0,1,0,0,0,10,10,2,5,2021-05-01,100,87
"23","req118",118,"Medium Complexity",2,"author24","owner2",1,"description",1,"Business Background","Business",1,1,0.464641635771841,2,1,1,0,0,0,1,1,1,1,0,0,3,3,2,2,2020-07-01,100,109
"24","req119",119,"High Complexity",3,"author13","owner4",3,"description",1,"default","User",1,1,0.302645035476113,9,8,2.33333333333333,1.33333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.333333333333333,0,28,9.33333333333333,4.66666666666667,6.33333333333333,2023-02-01,153.333333333333,141
"25","req12",12,"High Complexity",3,"author26","owner8",3,"description",1,"Business Requirements","System",1,0.666666666666667,0.35476718043598,8.66666666666667,7.33333333333333,1.66666666666667,2,0.333333333333333,1.66666666666667,1,1,1,1.33333333333333,0.666666666666667,0.333333333333333,36,12,6,6,2022-10-01,146.666666666667,148
"26","req120",120,"Low Complexity",1,"author17","owner9",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-01-01,60,42
"27","req121",121,"Medium Complexity",2,"author8","owner10",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-12-01,90,92
"28","req122",122,"High Complexity",3,"author3","owner9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-05-01,115,108
"29","req123",123,"Medium Complexity",2,"author22","owner4",4,"description",1,"default","(no level)",1,1,0.542183615791145,8.25,6.25,0.5,1.5,0.5,0.75,1,1,0.75,1.25,1,0.5,42,10.5,6,6.25,2020-10-01,110,119
"30","req124",124,"High Complexity",3,"author27","owner4",1,"description",1,"Business Requirements","(no level)",1,0,0.189321739599109,7,5,0,1,0,0,1,1,1,0,0,0,9,9,5,6,2023-10-01,120,118
"31","req125",125,"Medium Complexity",2,"author9","owner9",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-07-01,95,108
"32","req126",126,"Low Complexity",1,"author19","owner4",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-07-01,65,60
"33","req127",127,"Low Complexity",1,"author7","owner2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-01,55,43
"34","req128",128,"Low Complexity",1,"author15","owner7",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-02-01,60,62
"35","req129",129,"Low Complexity",1,"author30","owner5",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-02-01,65,76
"36","req13",13,"Low Complexity",1,"author1","owner3",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-05-01,60,61
"37","req130",130,"Low Complexity",1,"author8","owner10",3,"description",1,"Business Background","(no level)",1,0.666666666666667,0.463259504719948,7,5.66666666666667,1.33333333333333,1,0.666666666666667,0.333333333333333,1,1,1,1.33333333333333,0.333333333333333,0,29,9.66666666666667,2.66666666666667,6.33333333333333,2022-06-01,83.3333333333333,91
"38","req131",131,"High Complexity",3,"author21","owner10",1,"description",1,"Business Requirements","Business",1,1,0.954689352074638,12,7,1,2,3,3,1,1,1,1,0,0,16,16,7,12,2021-08-01,130,137
"39","req132",132,"Low Complexity",1,"author14","owner9",4,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-10-01,75,81
"40","req133",133,"Medium Complexity",2,"author11","owner6",2,"description",1,"Business Background","Business",1,1,0.310051164939068,8.5,7.5,0.5,2,0.5,2,1,1,1,0.5,0.5,0.5,20,10,5,6,2022-04-01,100,95
"41","req134",134,"Low Complexity",1,"author29","owner5",2,"description",1,"default","Business",1,0.5,0.575630582170561,7,3,0,0,0,1,1,1,1,0.5,0.5,0.5,17,8.5,3.5,5,2022-12-01,65,60
"42","req135",135,"Medium Complexity",2,"author8","owner1",2,"description",1,"default","User",1,1,0.59316452301573,6,5,1.5,1,0.5,1.5,1,1,1,1,0.5,0,13,6.5,4.5,4,2020-03-01,110,96
"43","req136",136,"High Complexity",3,"author6","owner1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-09-01,120,122
"44","req137",137,"High Complexity",3,"author17","owner4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-01,115,118
"45","req138",138,"Medium Complexity",2,"author27","owner3",3,"description",1,"Business Requirements","(no level)",1,0.666666666666667,0.623766360338777,8.33333333333333,7.33333333333333,1.66666666666667,1.33333333333333,0.666666666666667,1.33333333333333,1,1,1,1,1,0,26,8.66666666666667,4.66666666666667,4.66666666666667,2020-04-01,116.666666666667,121
"46","req139",139,"Medium Complexity",2,"author22","owner5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-01,85,91
"47","req14",14,"Low Complexity",1,"author14","owner4",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-04-01,65,68
"48","req140",140,"Low Complexity",1,"author2","owner3",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-11-01,60,71
"49","req141",141,"High Complexity",3,"author12","owner9",2,"description",1,"default","(no level)",1,1,0.286688018124551,5.5,5,1,1.5,0.5,0.5,1,1,1,0,0,0,13,6.5,1.5,3,2022-05-01,135,131
"50","req142",142,"Medium Complexity",2,"author21","owner1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-06-01,90,86
"51","req143",143,"Low Complexity",1,"author1","owner10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-01,55,55
"52","req144",144,"High Complexity",3,"author2","owner7",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-11-01,120,131
"53","req145",145,"Medium Complexity",2,"author16","owner2",1,"description",1,"Business Requirements","(no level)",1,1,0.44545338768512,6,4,2,1,0,1,1,1,1,1,0,0,5,5,2,3,2024-02-01,110,95
"54","req146",146,"Low Complexity",1,"author3","owner4",3,"description",1,"default","User",0.666666666666667,1,0.765246835692475,6,4,0.666666666666667,0.666666666666667,0,0.333333333333333,1,1,1,1,0.333333333333333,0.333333333333333,24,8,2.66666666666667,4,2023-08-01,76.6666666666667,92
"55","req147",147,"Medium Complexity",2,"author2","owner7",1,"description",1,"default","Business",1,1,0.585886296117678,8,8,0,2,0,2,1,1,1,1,0,0,12,12,4,6,2023-02-01,90,100
"56","req148",148,"Low Complexity",1,"author10","owner7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-12-01,55,59
"57","req149",149,"Medium Complexity",2,"author24","owner2",2,"description",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-02-01,95,93
"58","req15",15,"High Complexity",3,"author30","owner10",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-08-01,125,127
"59","req150",150,"Medium Complexity",2,"author25","owner3",2,"description",1,"Business Requirements","User",1,1,0.804772309027612,7.5,7,0.5,2,1.5,0,1,1,1,0.5,0,0,17,8.5,3,3.5,2024-04-01,100,106
"60","req151",151,"Medium Complexity",2,"author14","owner1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-03-01,90,79
"61","req152",152,"Low Complexity",1,"author29","owner3",1,"description",1,"Solution Proposal","(no level)",1,1,0.832116868114099,6,4,2,0,1,2,1,1,1,1,0,0,6,6,2,3,2022-10-01,80,78
"62","req153",153,"Low Complexity",1,"author15","owner6",2,"description",1,"default","System",1,0.5,0.114285049494356,7,6,0.5,1.5,0,1,1,1,1,0.5,0.5,0,17,8.5,3.5,6,2021-05-01,70,69
"63","req154",154,"Low Complexity",1,"author1","owner3",2,"description",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-07-01,65,58
"64","req155",155,"Low Complexity",1,"author3","owner6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-01,55,65
"65","req156",156,"Low Complexity",1,"author2","owner4",2,"description",1,"Business Requirements","Business",1,1,0.321118508349172,5.5,4,1,0.5,1.5,1,1,0.5,1,1.5,0,0,16,8,2,5,2023-05-01,75,84
"66","req157",157,"High Complexity",3,"author2","owner4",3,"description",1,"Solution Proposal","Business",1,1,0.355766380360971,9.66666666666667,7,1.66666666666667,1,0.333333333333333,1,1,1,1,0,0,0,29,9.66666666666667,2,5.33333333333333,2024-03-01,146.666666666667,145
"67","req158",158,"High Complexity",3,"author3","owner1",2,"description",1,"Business Background","System",0.5,0.5,0.693710474180989,9,5,0.5,0,1,0,1,1,1,1,0.5,0.5,25,12.5,5,7,2024-01-01,130,138
"68","req159",159,"Medium Complexity",2,"author2","owner7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-01,85,75
"69","req16",16,"High Complexity",3,"author20","owner3",1,"description",1,"Business Background","System",1,1,0.78576384531334,11,9,1,1,1,2,1,1,1,1,1,0,10,10,9,6,2024-04-01,130,132
"70","req160",160,"High Complexity",3,"author5","owner8",1,"description",1,"Business Requirements","User",1,1,0.946587254991755,11,7,1,2,0,1,1,1,1,3,2,1,13,13,9,10,2020-08-01,130,122
"71","req161",161,"High Complexity",3,"author25","owner7",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-04-01,120,119
"72","req162",162,"Medium Complexity",2,"author4","owner2",3,"description",1,"Solution Proposal","User",1,1,0.127790156829481,6.33333333333333,4.66666666666667,0.333333333333333,1.33333333333333,0,1.33333333333333,1,1,1,0.666666666666667,0.666666666666667,0.333333333333333,29,9.66666666666667,4.66666666666667,5,2021-01-01,103.333333333333,108
"73","req163",163,"Low Complexity",1,"author21","owner4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-01,55,57
"74","req164",164,"High Complexity",3,"author6","owner2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-03-01,120,122
"75","req165",165,"Low Complexity",1,"author1","owner2",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-07-01,65,70
"76","req166",166,"Low Complexity",1,"author5","owner9",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-07-01,70,75
"77","req167",167,"High Complexity",3,"author11","owner1",2,"description",1,"Business Background","(no level)",0.5,1,0.297300040256232,6.5,6.5,0.5,1.5,1,1,1,1,1,1,0.5,0.5,16,8,3,6,2024-04-01,130,118
"78","req168",168,"Medium Complexity",2,"author22","owner9",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-07-01,90,97
"79","req169",169,"Low Complexity",1,"author20","owner9",2,"description",1,"Business Background","Business",1,1,0.439258496509865,6.5,4,0.5,1.5,0.5,0.5,1,1,1,0.5,0.5,0,13,6.5,1,3.5,2024-11-01,70,68
"80","req17",17,"Medium Complexity",2,"author11","owner10",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-02-01,100,81
"81","req170",170,"Medium Complexity",2,"author15","owner8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-01,85,79
"82","req171",171,"Low Complexity",1,"author3","owner6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-01,55,52
"83","req172",172,"High Complexity",3,"author3","owner8",2,"description",1,"Business Background","Business",1,1,0.91432855289895,10,10,0.5,0.5,1.5,0,1,1,1,0.5,0.5,0.5,28,14,5,8.5,2022-10-01,130,118
"84","req173",173,"Low Complexity",1,"author20","owner4",1,"description",1,"Solution Proposal","System",1,1,0.0479730414226651,6,6,1,0,0,0,1,1,1,1,1,0,6,6,2,4,2020-12-01,70,75
"85","req174",174,"Medium Complexity",2,"author19","owner1",4,"description",1,"Solution Proposal","Business",1,1,0.438526976155117,8.25,6.25,0.75,1,0,1.25,1,1,1,0.5,0.25,0,35,8.75,3.25,4.75,2020-03-01,112.5,116
"86","req175",175,"Medium Complexity",2,"author23","owner8",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-02-01,95,87
"87","req176",176,"High Complexity",3,"author2","owner5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-01,115,130
"88","req177",177,"High Complexity",3,"author21","owner3",2,"description",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-06-01,125,100
"89","req178",178,"Medium Complexity",2,"author30","owner3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-04-01,95,83
"90","req179",179,"Low Complexity",1,"author19","owner4",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-08-01,65,62
"91","req18",18,"High Complexity",3,"author2","owner1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-03-01,125,95
"92","req180",180,"Low Complexity",1,"author8","owner7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-06-01,55,55
"93","req181",181,"Low Complexity",1,"author7","owner4",1,"description",1,"Business Requirements","User",1,1,0.281671973876655,6,5,0,2,0,0,1,1,1,2,0,0,8,8,0,6,2022-03-01,60,68
"94","req182",182,"Low Complexity",1,"author7","owner10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-01,55,70
"95","req183",183,"Low Complexity",1,"author5","owner5",1,"description",1,"Business Requirements","Business",1,1,0.268280932446942,5,5,1,2,0,0,1,1,1,0,0,0,7,7,4,5,2021-03-01,70,89
"96","req184",184,"Medium Complexity",2,"author29","owner10",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-09-01,90,86
"97","req185",185,"Low Complexity",1,"author26","owner3",2,"description",1,"Solution Proposal","System",1,1,0.529464829480276,5,4,0,0,1,0.5,0.5,1,1,2.5,0.5,0,9,4.5,2,3.5,2022-02-01,65,61
"98","req186",186,"Medium Complexity",2,"author30","owner5",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-02-01,100,89
"99","req187",187,"Medium Complexity",2,"author7","owner5",3,"description",1,"Business Background","Business",1,1,0.515900684520602,7.66666666666667,6,1,2,1.33333333333333,0.333333333333333,1,1,1,1,0.666666666666667,0.333333333333333,31,10.3333333333333,4.66666666666667,6.66666666666667,2023-03-01,110,109
"100","req188",188,"High Complexity",3,"author2","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-08-01,120,130
"101","req189",189,"High Complexity",3,"author5","owner4",1,"description",1,"Business Background","Business",1,1,0.434750668006018,7,6,1,0,2,0,1,1,1,0,0,0,5,5,0,1,2023-03-01,130,140
"102","req19",19,"Low Complexity",1,"author30","owner8",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-08-01,65,74
"103","req190",190,"High Complexity",3,"author11","owner6",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-11-01,125,137
"104","req191",191,"Low Complexity",1,"author28","owner3",3,"description",1,"default","(no level)",0.666666666666667,1,0.272522497689351,5.66666666666667,5,1.66666666666667,2,0.333333333333333,1.33333333333333,1,1,1,0.333333333333333,0,0,23,7.66666666666667,3,4,2020-03-01,86.6666666666667,92
"105","req192",192,"High Complexity",3,"author6","owner6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-01,115,107
"106","req193",193,"Medium Complexity",2,"author26","owner3",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-09-01,90,88
"107","req194",194,"High Complexity",3,"author6","owner9",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-12-01,125,139
"108","req195",195,"High Complexity",3,"author10","owner8",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-02-01,120,103
"109","req196",196,"Low Complexity",1,"author5","owner10",2,"description",1,"Business Requirements","System",1,1,0.847796294954606,5,4.5,0.5,1,0.5,0,1,1,1,0.5,0.5,0,13,6.5,2.5,4,2020-10-01,70,62
"110","req197",197,"High Complexity",3,"author22","owner10",1,"description",1,"default","User",1,1,0.409344926010817,9,7,1,2,0,1,1,1,1,0,0,0,8,8,2,7,2024-02-01,130,146
"111","req198",198,"High Complexity",3,"author22","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-10-01,120,89
"112","req199",199,"Low Complexity",1,"author4","owner7",2,"description",1,"default","(no level)",0.5,1,0.505038056988269,5.5,5,2,1.5,0,0.5,1,1,1,0.5,0.5,0,15,7.5,3.5,3,2022-11-01,85,83
"113","req2",2,"High Complexity",3,"author23","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-08-01,120,124
"114","req20",20,"Medium Complexity",2,"author4","owner1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-12-01,90,78
"115","req200",200,"Medium Complexity",2,"author26","owner7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-01,85,74
"116","req201",201,"Low Complexity",1,"author7","owner1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-03-01,65,70
"117","req202",202,"Medium Complexity",2,"author24","owner4",2,"description",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-03-01,95,110
"118","req203",203,"High Complexity",3,"author13","owner9",3,"description",1,"default","User",1,1,0.48757850099355,8.66666666666667,7.66666666666667,0.666666666666667,2,0.333333333333333,1,1,1,1,0.666666666666667,0.666666666666667,0,29,9.66666666666667,4.66666666666667,5,2020-08-01,136.666666666667,148
"119","req204",204,"Medium Complexity",2,"author15","owner5",1,"description",1,"Business Requirements","(no level)",1,1,0.774875358911231,6,4,2,0,1,1,1,1,1,1,1,0,7,7,6,4,2024-03-01,110,101
"120","req205",205,"Low Complexity",1,"author3","owner5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-01,55,42
"121","req206",206,"Medium Complexity",2,"author12","owner7",2,"description",1,"default","System",1,0.5,0.13028819009196,6.5,5,1.5,1,0.5,0.5,1,1,1,1,0.5,0,16,8,2,6,2022-12-01,110,102
"122","req207",207,"High Complexity",3,"author22","owner10",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-12-01,130,129
"123","req208",208,"Medium Complexity",2,"author24","owner5",1,"description",1,"Business Requirements","Business",1,1,0.562713515013456,9,6,1,1,0,2,1,1,1,2,1,0,10,10,4,6,2024-10-01,100,88
"124","req209",209,"Medium Complexity",2,"author7","owner9",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-02-01,95,103
