"","req","ucid","complexity","Form","Procedural","Fields","Location","Level","Text.Order","Dependencies","Coherent","Steps","Functional.Steps","Whitebox.Steps","Misplaced.Variations","Misplaced.Main","Sequence.Main","Sequence.Alt","Numbering","Consistent.Grammar","entities","actors","actors.explicit","interactions","pureinteractions","consecutive"
"32","req115","uc2",2,"description",TRUE,"title; main scenario; dependencies; level; postconditions; additional information; preconditions","Business Background","System",TRUE,TRUE,0.210320606827736,8,6,0,1,0,TRUE,TRUE,TRUE,2,1,0,0,13,3,9
"33","req116","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","req117","uc1",2,"description",TRUE,"title; main scenario; preconditions; limitations; dependencies; extensions; additional information; postconditions","default","Business",TRUE,TRUE,0.695161777548492,9,9,1,2,2,TRUE,FALSE,TRUE,2,0,0,0,10,2,5
"35","req118","uc1",2,"description",TRUE,"title; main scenario; additional information; assumptions; solution hints; actor; limitations; level","Business Background","Business",TRUE,TRUE,0.464641635771841,2,1,1,0,0,TRUE,TRUE,TRUE,0,1,0,0,3,2,2
"36","req119","uc1",3,"description",TRUE,"title; main scenario; extensions; preconditions; postconditions; limitations; revision history","default","User",TRUE,TRUE,0.401197225321084,11,8,2,1,0,TRUE,TRUE,TRUE,0,1,1,0,11,6,6
"37","req119","uc2",3,"description",TRUE,"title; main scenario; extensions; preconditions; postconditions; limitations; revision history","Solution Proposal","(no level)",TRUE,TRUE,0.439228460891172,10,10,4,3,0,TRUE,TRUE,TRUE,0,1,0,0,10,8,9
"38","req119","uc3",3,"description",TRUE,"title; main scenario; extensions; preconditions; postconditions; limitations; revision history","Business Background","System",TRUE,TRUE,0.0675094202160835,6,6,1,0,1,TRUE,FALSE,TRUE,2,0,0,0,7,0,4
"39","req12","uc1",3,"description",TRUE,"title; main scenario; solution hints; assumptions; preconditions; level","Business Requirements","System",TRUE,TRUE,0.395164970541373,9,8,2,1,0,TRUE,TRUE,TRUE,1,1,0,0,13,4,6
"40","req12","uc2",3,"description",TRUE,"title; main scenario; solution hints; assumptions; preconditions; level","Business Background","System",TRUE,FALSE,0.456667523365468,7,5,0,2,0,TRUE,TRUE,TRUE,2,1,1,1,9,6,4
"41","req12","uc3",3,"description",TRUE,"title; main scenario; solution hints; assumptions; preconditions; level","Business Background","System",TRUE,TRUE,0.2124690474011,10,9,3,3,1,TRUE,TRUE,TRUE,2,2,1,0,14,8,8
"42","req120","uc1",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","req121","uc1",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","req123","uc1",2,"description",TRUE,"title; main scenario; extensions; additional information; actor; limitations; preconditions","default","(no level)",TRUE,TRUE,0.31957108178176,7,7,1,2,0,TRUE,TRUE,TRUE,0,0,0,0,8,2,5
"45","req123","uc2",2,"description",TRUE,"title; main scenario; extensions; additional information; actor; limitations; preconditions","default","System",TRUE,TRUE,0.442173023242503,9,5,0,1,0,TRUE,TRUE,FALSE,0,0,0,0,11,2,8
"46","req123","uc3",2,"description",TRUE,"title; main scenario; extensions; additional information; actor; limitations; preconditions","default","User",TRUE,TRUE,0.694665234070271,9,7,1,1,0,TRUE,TRUE,TRUE,2,2,2,1,14,11,9
"47","req123","uc4",2,"description",TRUE,"title; main scenario; extensions; additional information; actor; limitations; preconditions","default","Business",TRUE,TRUE,0.712325124070048,8,6,0,2,2,TRUE,TRUE,TRUE,1,3,2,1,9,9,3
"48","req124","uc1",3,"description",TRUE,"title; main scenario; limitations; additional information; dependencies; solution hints","Business Requirements","(no level)",TRUE,FALSE,0.189321739599109,7,5,0,1,0,TRUE,TRUE,TRUE,0,0,0,0,9,5,6
"49","req125","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","req125","uc2",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","req126","uc1",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","req126","uc2",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","req128","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","req129","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","req129","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","req13","uc1",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","req130","uc1",1,"description",TRUE,"title; main scenario; postconditions; extensions; revision history; additional information","Business Background","(no level)",TRUE,TRUE,0.766553906025365,8,7,0,3,2,TRUE,TRUE,TRUE,0,1,0,0,8,3,5
"58","req130","uc2",1,"description",TRUE,"title; main scenario; postconditions; extensions; revision history; additional information","Business Background","Business",TRUE,FALSE,0.473299087025225,7,5,2,0,0,TRUE,TRUE,TRUE,1,2,1,0,11,5,7
"59","req130","uc3",1,"description",TRUE,"title; main scenario; postconditions; extensions; revision history; additional information","Solution Proposal","System",TRUE,TRUE,0.149925521109253,6,5,2,0,0,TRUE,TRUE,TRUE,0,1,0,0,10,0,7
"60","req131","uc1",3,"description",TRUE,"title; main scenario; extensions; limitations; postconditions; preconditions; revision history; dependencies; level; solution hints","Business Requirements","Business",TRUE,TRUE,0.954689352074638,12,7,1,2,3,TRUE,TRUE,TRUE,3,1,0,0,16,7,12
"61","req132","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","req132","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","req132","uc3",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","req132","uc4",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","req133","uc1",2,"description",TRUE,"title; main scenario; limitations; assumptions; actor; dependencies; revision history; extensions","Business Background","Business",TRUE,TRUE,0.0696940913330764,8,6,0,1,1,TRUE,TRUE,TRUE,2,1,1,1,10,4,6
"66","req133","uc2",2,"description",TRUE,"title; main scenario; limitations; assumptions; actor; dependencies; revision history; extensions","default","(no level)",TRUE,TRUE,0.55040823854506,9,9,1,3,0,TRUE,TRUE,TRUE,2,0,0,0,10,6,6
"67","req134","uc1",1,"description",TRUE,"title; main scenario; revision history; additional information; actor; level; solution hints; limitations","default","Business",TRUE,FALSE,0.596962756477296,7,3,0,0,0,TRUE,TRUE,TRUE,1,1,1,1,10,5,7
"68","req134","uc2",1,"description",TRUE,"title; main scenario; revision history; additional information; actor; level; solution hints; limitations","Business Requirements","User",TRUE,TRUE,0.554298407863826,7,3,0,0,0,TRUE,TRUE,TRUE,1,0,0,0,7,2,3
"69","req135","uc1",2,"description",TRUE,"title; main scenario; preconditions; additional information; level; revision history; extensions; dependencies","default","User",TRUE,TRUE,0.721572073874995,8,6,1,0,0,TRUE,TRUE,TRUE,1,0,0,0,7,4,3
"70","req135","uc2",2,"description",TRUE,"title; main scenario; preconditions; additional information; level; revision history; extensions; dependencies","Business Requirements","Business",TRUE,TRUE,0.464756972156465,4,4,2,2,1,TRUE,TRUE,TRUE,2,2,1,0,6,5,5
"71","req136","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","req138","uc1",2,"description",TRUE,"title; main scenario; level; solution hints; preconditions; actor; dependencies","Business Requirements","(no level)",TRUE,TRUE,0.518024202436209,7,6,1,1,0,TRUE,TRUE,TRUE,2,1,1,0,7,4,2
"73","req138","uc2",2,"description",TRUE,"title; main scenario; level; solution hints; preconditions; actor; dependencies","default","Business",TRUE,TRUE,0.509237418649718,9,8,0,0,1,TRUE,TRUE,TRUE,0,1,1,0,11,8,5
"74","req138","uc3",2,"description",TRUE,"title; main scenario; level; solution hints; preconditions; actor; dependencies","Solution Proposal","User",TRUE,FALSE,0.844037459930405,9,8,4,3,1,TRUE,TRUE,TRUE,2,1,1,0,8,2,7
"75","req14","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","req14","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","req140","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","req141","uc1",3,"description",TRUE,"title; main scenario; revision history; postconditions; limitations; preconditions; additional information; actor","default","(no level)",TRUE,TRUE,0.53598429216072,5,5,0,1,1,TRUE,TRUE,TRUE,0,0,0,0,4,2,3
"79","req141","uc2",3,"description",TRUE,"title; main scenario; revision history; postconditions; limitations; preconditions; additional information; actor","Solution Proposal","System",TRUE,TRUE,0.0373917440883815,6,5,2,2,0,TRUE,TRUE,TRUE,1,0,0,0,9,1,3
"80","req142","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","req144","uc1",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","req145","uc1",2,"description",TRUE,"title; main scenario; postconditions; additional information; actor; dependencies; level; preconditions; assumptions","Business Requirements","(no level)",TRUE,TRUE,0.44545338768512,6,4,2,1,0,TRUE,TRUE,TRUE,1,1,0,0,5,2,3
"83","req146","uc1",1,"description",TRUE,"title; main scenario; dependencies; extensions; assumptions; additional information; limitations","default","User",FALSE,TRUE,0.575014667818323,5,4,0,0,0,TRUE,TRUE,TRUE,0,1,0,0,7,4,4
"84","req146","uc2",1,"description",TRUE,"title; main scenario; dependencies; extensions; assumptions; additional information; limitations","Business Requirements","(no level)",TRUE,TRUE,0.876681503839791,6,4,0,1,0,TRUE,TRUE,TRUE,1,1,0,0,7,0,3
"85","req146","uc3",1,"description",TRUE,"title; main scenario; dependencies; extensions; assumptions; additional information; limitations","Solution Proposal","(no level)",TRUE,TRUE,0.844044335419312,7,4,2,1,0,TRUE,TRUE,TRUE,0,1,1,1,10,4,5
"86","req147","uc1",2,"description",TRUE,"title; main scenario; additional information; assumptions; actor; solution hints; postconditions; level; preconditions; revision history; extensions","default","Business",TRUE,TRUE,0.585886296117678,8,8,0,2,0,TRUE,TRUE,TRUE,2,1,0,0,12,4,6
"87","req149","uc1",2,"description",FALSE,"title; main scenario; assumptions; postconditions; actor; solution hints",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","req149","uc2",2,"description",FALSE,"title; main scenario; assumptions; postconditions; actor; solution hints",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","req15","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","req15","uc2",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","req150","uc1",2,"description",TRUE,"title; main scenario; extensions; actor; postconditions; limitations; dependencies","Business Requirements","User",TRUE,TRUE,0.620425876928493,8,7,0,1,1,TRUE,TRUE,TRUE,0,0,0,0,9,4,2
"92","req150","uc2",2,"description",TRUE,"title; main scenario; extensions; actor; postconditions; limitations; dependencies","Business Requirements","User",TRUE,TRUE,0.989118741126731,7,7,1,3,2,TRUE,TRUE,TRUE,0,1,0,0,8,2,5
"93","req151","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","req152","uc1",1,"description",TRUE,"title; main scenario; assumptions; solution hints; actor","Solution Proposal","(no level)",TRUE,TRUE,0.832116868114099,6,4,2,0,1,TRUE,TRUE,TRUE,2,1,0,0,6,2,3
"95","req153","uc1",1,"description",TRUE,"title; main scenario; preconditions; postconditions; limitations; dependencies; revision history; solution hints; actor","default","System",TRUE,FALSE,0.130485352128744,7,6,1,1,0,TRUE,TRUE,TRUE,0,1,1,0,8,5,6
"96","req153","uc2",1,"description",TRUE,"title; main scenario; preconditions; postconditions; limitations; dependencies; revision history; solution hints; actor","Business Requirements","User",TRUE,TRUE,0.0980847468599677,7,6,0,2,0,TRUE,TRUE,TRUE,2,0,0,0,9,2,6
"97","req154","uc1",1,"description",FALSE,"title; main scenario; limitations; dependencies; actor; revision history; preconditions; assumptions; additional information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","req154","uc2",1,"description",FALSE,"title; main scenario; limitations; dependencies; actor; revision history; preconditions; assumptions; additional information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","req156","uc1",1,"description",TRUE,"title; main scenario; assumptions; additional information; revision history; level","Business Requirements","Business",TRUE,TRUE,0.445462536299601,6,5,1,0,2,TRUE,FALSE,TRUE,1,1,0,0,9,2,6
"100","req156","uc2",1,"description",TRUE,"title; main scenario; assumptions; additional information; revision history; level","Solution Proposal","(no level)",TRUE,TRUE,0.196774480398744,5,3,1,1,1,TRUE,TRUE,TRUE,1,2,0,0,7,2,4
"101","req157","uc1",3,"description",TRUE,"title; main scenario; dependencies; limitations; preconditions; extensions; solution hints; revision history; postconditions","Solution Proposal","Business",TRUE,TRUE,0.052287386264652,11,8,4,1,0,TRUE,TRUE,TRUE,2,0,0,0,13,3,7
"102","req157","uc2",3,"description",TRUE,"title; main scenario; dependencies; limitations; preconditions; extensions; solution hints; revision history; postconditions","Business Requirements","System",TRUE,TRUE,0.610810718731955,10,7,0,1,1,TRUE,TRUE,TRUE,0,0,0,0,10,1,4
"103","req157","uc3",3,"description",TRUE,"title; main scenario; dependencies; limitations; preconditions; extensions; solution hints; revision history; postconditions","Solution Proposal","System",TRUE,TRUE,0.404201036086306,8,6,1,1,0,TRUE,TRUE,TRUE,1,0,0,0,6,2,5
"104","req158","uc1",3,"description",TRUE,"title; main scenario; postconditions; extensions; actor; limitations; preconditions; dependencies","Business Background","System",FALSE,TRUE,0.479608210967854,8,4,1,0,1,TRUE,TRUE,TRUE,0,1,0,0,11,3,7
"105","req158","uc2",3,"description",TRUE,"title; main scenario; postconditions; extensions; actor; limitations; preconditions; dependencies","Business Requirements","User",TRUE,FALSE,0.907812737394124,10,6,0,0,1,TRUE,TRUE,TRUE,0,1,1,1,14,7,7
"106","req16","uc1",3,"description",TRUE,"title; main scenario; limitations; revision history; postconditions; additional information; extensions","Business Background","System",TRUE,TRUE,0.78576384531334,11,9,1,1,1,TRUE,TRUE,TRUE,2,1,1,0,10,9,6
"107","req160","uc1",3,"description",TRUE,"title; main scenario; assumptions; level; revision history; extensions","Business Requirements","User",TRUE,TRUE,0.946587254991755,11,7,1,2,0,TRUE,TRUE,TRUE,1,3,2,1,13,9,10
"108","req161","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","req162","uc1",2,"description",TRUE,"title; main scenario; solution hints; extensions; assumptions; additional information; level; limitations; dependencies; preconditions","Solution Proposal","User",TRUE,TRUE,0.174364213598892,9,6,1,2,0,TRUE,TRUE,TRUE,1,0,0,0,12,3,5
"110","req162","uc2",2,"description",TRUE,"title; main scenario; solution hints; extensions; assumptions; additional information; level; limitations; dependencies; preconditions","default","Business",TRUE,TRUE,0.166090277023613,7,5,0,1,0,TRUE,TRUE,TRUE,2,1,1,1,12,8,6
"111","req162","uc3",2,"description",TRUE,"title; main scenario; solution hints; extensions; assumptions; additional information; level; limitations; dependencies; preconditions","Business Requirements","User",TRUE,TRUE,0.0429159798659384,3,3,0,1,0,TRUE,TRUE,TRUE,1,1,1,0,5,3,4
"112","req164","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","req165","uc1",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","req165","uc2",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","req166","uc1",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","req166","uc2",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","req166","uc3",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","req167","uc1",3,"description",TRUE,"title; main scenario; postconditions; limitations; dependencies; assumptions; additional information","Business Background","(no level)",FALSE,TRUE,0.248068847227842,6,6,1,1,1,TRUE,TRUE,TRUE,2,0,0,0,6,1,4
"119","req167","uc2",3,"description",TRUE,"title; main scenario; postconditions; limitations; dependencies; assumptions; additional information","Solution Proposal","(no level)",TRUE,TRUE,0.346531233284622,7,7,0,2,1,TRUE,TRUE,TRUE,0,2,1,1,10,5,8
"120","req168","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","req169","uc1",1,"description",TRUE,"title; main scenario; extensions; limitations; level; postconditions; preconditions; assumptions","Business Background","Business",TRUE,TRUE,0.302137124584988,9,6,0,3,1,TRUE,TRUE,TRUE,1,0,0,0,9,2,5
"122","req169","uc2",1,"description",TRUE,"title; main scenario; extensions; limitations; level; postconditions; preconditions; assumptions","Business Requirements","User",TRUE,TRUE,0.576379868434742,4,2,1,0,0,TRUE,TRUE,TRUE,0,1,1,0,4,0,2
"123","req17","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","req17","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","req17","uc3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","req172","uc1",3,"description",TRUE,"title; main scenario; level; extensions; preconditions; dependencies; assumptions","Business Background","Business",TRUE,TRUE,0.878158219158649,12,12,1,0,2,TRUE,TRUE,TRUE,0,0,0,0,18,3,10
"127","req172","uc2",3,"description",TRUE,"title; main scenario; level; extensions; preconditions; dependencies; assumptions","Business Requirements","User",TRUE,TRUE,0.950498886639252,8,8,0,1,1,TRUE,TRUE,TRUE,0,1,1,1,10,7,7
"128","req173","uc1",1,"description",TRUE,"title; main scenario; limitations; additional information; revision history","Solution Proposal","System",TRUE,TRUE,0.0479730414226651,6,6,1,0,0,TRUE,TRUE,TRUE,0,1,1,0,6,2,4
"129","req174","uc1",2,"description",TRUE,"title; main scenario; extensions; actor; level; additional information; assumptions; dependencies","Solution Proposal","Business",TRUE,TRUE,0.611234985524788,8,7,2,2,0,TRUE,TRUE,TRUE,1,1,0,0,7,2,4
"130","req174","uc2",2,"description",TRUE,"title; main scenario; extensions; actor; level; additional information; assumptions; dependencies","default","System",TRUE,TRUE,0.183841286925599,10,7,1,1,0,TRUE,TRUE,TRUE,2,1,1,0,11,2,5
"131","req174","uc3",2,"description",TRUE,"title; main scenario; extensions; actor; level; additional information; assumptions; dependencies","Solution Proposal","Business",TRUE,TRUE,0.253368670120835,7,3,0,1,0,TRUE,TRUE,TRUE,1,0,0,0,10,6,6
"132","req174","uc4",2,"description",TRUE,"title; main scenario; extensions; actor; level; additional information; assumptions; dependencies","default","(no level)",TRUE,TRUE,0.705662962049246,8,8,0,0,0,TRUE,TRUE,TRUE,1,0,0,0,7,3,4
"133","req175","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","req175","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","req177","uc1",3,"description",FALSE,"title; main scenario; extensions; assumptions; preconditions; dependencies; additional information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
